config_id	chunk_size	compression_algo	compression_level
1	1,796,512	gzip	4
2	1,796,512	gzip	6
3	1,796,512	gzip	8
4	1,796,512	blosc-blosclz	2
5	1,796,512	blosc-blosclz	5
6	1,796,512	blosc-blosclz	8
7	1,796,512	blosc-lz4	2
8	1,796,512	blosc-lz4	5
9	1,796,512	blosc-lz4	8
10	1,796,512	blosc-lz4hc	2
11	1,796,512	blosc-lz4hc	5
12	1,796,512	blosc-lz4hc	8
13	1,796,512	blosc-zstd	2
14	1,796,512	blosc-zstd	5
15	1,796,512	blosc-zstd	8
16	1,796,512	lz4	1048576
17	1,796,512	lz4	33554432
18	1,796,512	lz4	1073741824
19	1,796,512	lzf	NA
20	1,796,512	zstd	3
21	1,796,512	zstd	12
22	1,796,512	zstd	22
24	4096,4,4	gzip	4
25	4096,4,4	gzip	6
26	4096,4,4	gzip	8
27	4096,4,4	blosc-blosclz	2
28	4096,4,4	blosc-blosclz	5
29	4096,4,4	blosc-blosclz	8
30	4096,4,4	blosc-lz4	2
31	4096,4,4	blosc-lz4	5
32	4096,4,4	blosc-lz4	8
33	4096,4,4	blosc-lz4hc	2
34	4096,4,4	blosc-lz4hc	5
35	4096,4,4	blosc-lz4hc	8
36	4096,4,4	blosc-zstd	2
37	4096,4,4	blosc-zstd	5
38	4096,4,4	blosc-zstd	8
39	4096,4,4	lz4	1048576
40	4096,4,4	lz4	33554432
41	4096,4,4	lz4	1073741824
42	4096,4,4	lzf	NA
43	4096,4,4	zstd	3
44	4096,4,4	zstd	12
45	4096,4,4	zstd	22
47	625,25,16	gzip	4
48	625,25,16	gzip	6
49	625,25,16	gzip	8
50	625,25,16	blosc-blosclz	2
51	625,25,16	blosc-blosclz	5
52	625,25,16	blosc-blosclz	8
53	625,25,16	blosc-lz4	2
54	625,25,16	blosc-lz4	5
55	625,25,16	blosc-lz4	8
56	625,25,16	blosc-lz4hc	2
57	625,25,16	blosc-lz4hc	5
58	625,25,16	blosc-lz4hc	8
59	625,25,16	blosc-zstd	2
60	625,25,16	blosc-zstd	5
61	625,25,16	blosc-zstd	8
62	625,25,16	lz4	1048576
63	625,25,16	lz4	33554432
64	625,25,16	lz4	1073741824
65	625,25,16	lzf	NA
66	625,25,16	zstd	3
67	625,25,16	zstd	12
68	625,25,16	zstd	22
70	625,25,16	uncompressed	NA
71	4096,4,4	uncompressed	NA
72	1,796,512	uncompressed	NA
